SitRecID,Country,ISO3,NatName,IntName,SitLat,SitLong,SitArea,IbaStatus,AzeStatus,AddedDate,ChangeDate,Source,DelTxt,DelGeom,Shape_Leng,Shape_Area,KBA_Qual,CTRY,area_m2_int
"6399",Kenya,KEN,Diani Forest,Diani Forest,-4.32725839941,39.57092257370,"449",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",,3. draft polygon,0.20052474233,0.00036594366,Global/ Regional to be determined,Kenya,1667648.585
"6399",Kenya,KEN,Diani Forest,Diani Forest,-4.32725839941,39.57092257370,"449",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",,3. draft polygon,0.20052474233,0.00036594366,Global/ Regional to be determined,Kenya,17.010
"6404",Kenya,KEN,Kisite island,Kisite island,-4.71923562036,39.37252893050,"146",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,0.04318963318,0.00011900493,Global,Kenya,1460006.419
"6404",Kenya,KEN,Kisite island,Kisite island,-4.71923562036,39.37252893050,"146",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,0.04318963318,0.00011900493,Global,Kenya,1314445.074
"6405",Kenya,KEN,Kiunga Marine National Reserve,Kiunga Marine National Reserve,-1.89637458655,41.33811692490,"24231",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,1.51333634688,0.01969613015,Global,Kenya,204592277.571
"6405",Kenya,KEN,Kiunga Marine National Reserve,Kiunga Marine National Reserve,-1.89637458655,41.33811692490,"24231",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,1.51333634688,0.01969613015,Global,Kenya,2229259.020
"6405",Kenya,KEN,Kiunga Marine National Reserve,Kiunga Marine National Reserve,-1.89637458655,41.33811692490,"24231",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,1.51333634688,0.01969613015,Global,Kenya,679795.208
"6405",Kenya,KEN,Kiunga Marine National Reserve,Kiunga Marine National Reserve,-1.89637458655,41.33811692490,"24231",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,1.51333634688,0.01969613015,Global,Kenya,1271058.522
"6406",Kenya,KEN,"Mida Creek, Whale Island and the Malindi - Watamu coast","Mida Creek, Whale Island and the Malindi - Watamu coast",-3.33953459612,40.06926744400,"22634",confirmed,,2009/02/01,2018/08/22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",3. draft polygon,1.01674745990,0.01841861013,Global,Kenya,11054485.080
"6406",Kenya,KEN,"Mida Creek, Whale Island and the Malindi - Watamu coast","Mida Creek, Whale Island and the Malindi - Watamu coast",-3.33953459612,40.06926744400,"22634",confirmed,,2009/02/01,2018/08/22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",3. draft polygon,1.01674745990,0.01841861013,Global,Kenya,6307887.832
"6406",Kenya,KEN,"Mida Creek, Whale Island and the Malindi - Watamu coast","Mida Creek, Whale Island and the Malindi - Watamu coast",-3.33953459612,40.06926744400,"22634",confirmed,,2009/02/01,2018/08/22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",3. draft polygon,1.01674745990,0.01841861013,Global,Kenya,163269076.690
"6406",Kenya,KEN,"Mida Creek, Whale Island and the Malindi - Watamu coast","Mida Creek, Whale Island and the Malindi - Watamu coast",-3.33953459612,40.06926744400,"22634",confirmed,,2009/02/01,2018/08/22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",3. draft polygon,1.01674745990,0.01841861013,Global,Kenya,30845764.185
"6689",Mozambique,MOZ,Pomene,Pomene,-22.98406724080,35.55456039210,"5051",confirmed,,2005/05/12,,RSPB funded initiative to create polygon boundaries for IBAs in Africa.,"Digitized from national and continental scale maps of protected areas, lakes and wetlands.",3. draft polygon,0.39564421436,0.00444820321,Global/ Regional to be determined,Mozambique,37863262.997
"6975",Tanzania,TZA,Mafia Island,Mafia Island,-7.98436301217,39.70165153940,"29682",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.20599146525,0.02434389583,Global,Tanzania,293169101.154
"6975",Tanzania,TZA,Mafia Island,Mafia Island,-7.98436301217,39.70165153940,"29682",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.20599146525,0.02434389583,Global,Tanzania,33193394.049
"6975",Tanzania,TZA,Mafia Island,Mafia Island,-7.98436301217,39.70165153940,"29682",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.20599146525,0.02434389583,Global,Tanzania,137028529.597
"6975",Tanzania,TZA,Mafia Island,Mafia Island,-7.98436301217,39.70165153940,"29682",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.20599146525,0.02434389583,Global,Tanzania,59315558.178
"6975",Tanzania,TZA,Mafia Island,Mafia Island,-7.98436301217,39.70165153940,"29682",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.20599146525,0.02434389583,Global,Tanzania,61025297.273
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,9060564.135
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,2349705.659
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,11503054.704
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,950633.642
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,3588853.933
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,2525065.462
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,73590913.264
"6984",Tanzania,TZA,Dar es Salaam coast,Dar es Salaam coast,-6.74966847773,39.32507594870,"39923",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.84234161377,0.03265441434,Global,Tanzania,15686988.208
"6991",Tanzania,TZA,Mnazi Bay,Mnazi Bay,-10.36139337160,40.34871190030,"55385",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.10225377523,0.04572173540,Global,Tanzania,550422606.600
"6991",Tanzania,TZA,Mnazi Bay,Mnazi Bay,-10.36139337160,40.34871190030,"55385",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.10225377523,0.04572173540,Global,Tanzania,53191455.437
"6995",Tanzania,TZA,Rufiji Delta,Rufiji Delta,-7.99173317700,39.33264961970,"125860",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.51647487003,0.10322610245,Global,Tanzania,32336598.989
"6995",Tanzania,TZA,Rufiji Delta,Rufiji Delta,-7.99173317700,39.33264961970,"125860",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.51647487003,0.10322610245,Global,Tanzania,340652502.457
"6995",Tanzania,TZA,Rufiji Delta,Rufiji Delta,-7.99173317700,39.33264961970,"125860",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.51647487003,0.10322610245,Global,Tanzania,84368187.277
"6995",Tanzania,TZA,Rufiji Delta,Rufiji Delta,-7.99173317700,39.33264961970,"125860",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,1.51647487003,0.10322610245,Global,Tanzania,69862610.238
"6999",Tanzania,TZA,Tanga South,Tanga South,-5.25011532001,39.08333013780,"2269",confirmed,,2008/06/09,2008/06/09,"BirdLife International, SitMapGlobal: 18/02/08",,3. draft polygon,0.22624730221,0.00185131342,Global,Tanzania,22694890.815
"6999",Tanzania,TZA,Tanga South,Tanga South,-5.25011532001,39.08333013780,"2269",confirmed,,2008/06/09,2008/06/09,"BirdLife International, SitMapGlobal: 18/02/08",,3. draft polygon,0.22624730221,0.00185131342,Global,Tanzania,10464558.288
"6999",Tanzania,TZA,Tanga South,Tanga South,-5.25011532001,39.08333013780,"2269",confirmed,,2008/06/09,2008/06/09,"BirdLife International, SitMapGlobal: 18/02/08",,3. draft polygon,0.22624730221,0.00185131342,Global,Tanzania,9597764.815
"7007",Tanzania,TZA,Zanzibar Island-South Coast,Zanzibar Island-South Coast,-6.28306674768,39.30133905010,"8071",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,0.33213531653,0.00659587815,Global,Zanzibar,42494077.685
"7009",Tanzania,TZA,Bagamoyo District Coastal Forests,Bagamoyo District Coastal Forests,-5.96889922313,38.73977419560,"114148",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918.shp",,3. draft polygon,2.40308579451,0.09322746210,Global/ Regional to be determined,Tanzania,79783188.110
"22370",Kenya,KEN,Kaya Tiwi,Kaya Tiwi,-4.25400189135,39.59693334140,"52",,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",,3. draft polygon,0.02485740299,0.00004248782,Global/ Regional to be determined,Kenya,190094.737
"22370",Kenya,KEN,Kaya Tiwi,Kaya Tiwi,-4.25400189135,39.59693334140,"52",,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",,3. draft polygon,0.02485740299,0.00004248782,Global/ Regional to be determined,Kenya,18799.812
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,12869235.743
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,32542017.321
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,302309.628
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,289899.694
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,54805.145
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,1543.176
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Tanzania,12149656.499
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Tanzania,12084817.959
"30509",Kenya,KEN,Kisite island - Marine,Kisite island - Marine,-4.72330453294,39.37294124640,"34139",confirmed,,2012/10/08,,Generated by the Marine team at BirdLife International from seabird tracking data and other published material,Generated by the Marine team at BirdLife International for the Marine eAtlas in October 2012,3. draft polygon,0.78228562244,0.02782669231,Global,Kenya,319208450.704
"31455",Tanzania,TZA,Makongwe Island,Makongwe Island,-5.38039159768,39.62386383710,"309",,,2013/03/18,,Created as part of the original CEPF Hotspot Profile work for the East African Coastal Forests,Added to the database from boundaries on file in March 2013 as part of the IBAT funded KBA project,3. draft polygon,0.07279314642,0.00025187362,Global/ Regional to be determined,Zanzibar,665842.049
"6533",Madagascar,MDG,Zone humide de la Baie d'Ampasindava,Ampasindava Bay wetlands,-13.77201952660,48.04414433230,"162415",confirmed,,2008/06/05,,"Data extracted from BirdLife International SitMapGlobal, 05/06/2008",,3. draft polygon,1.69694625349,0.13575007749,Global/ Regional to be determined,Madagascar,94078645.671
"22486",Madagascar,MDG,NAP Oronjia,Oronjia NPA,-12.27649899160,49.38178180270,"2504",,,2006/04/10,,Data supplied by Conservation International (MG_KBA_10_april_2006.shp),,3. draft polygon,0.26772932985,0.00208031071,Global/ Regional to be determined,Madagascar,628024.929
"6545",Madagascar,MDG,NAP Baie de Bombetoka - Marovoay,Bombetoka Bay - Marovoay NPA,-16.01431807470,46.45913092090,"157299",confirmed,,2016/03/17,,"Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,3.73495743113,0.13281568223,Global,Madagascar,1162.714
"6545",Madagascar,MDG,NAP Baie de Bombetoka - Marovoay,Bombetoka Bay - Marovoay NPA,-16.01431807470,46.45913092090,"157299",confirmed,,2016/03/17,,"Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,3.73495743113,0.13281568223,Global,Madagascar,1163.191
"45325",Comoros,COM,Récifs coralliens de Grande Comore,Grande Comore coral reefs,-11.55744367130,43.39069472620,"7957",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,1.27888086509,0.00659434534,Global/ Regional to be determined,Comoros,7194538.519
"45326",Comoros,COM,Récifs coralliens de Mohéli - hors Parc Marin,Mohéli coral reefs - outside of Marine Park,-12.28270290180,43.73281741830,"3269",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.74164860158,0.00271614515,Global/ Regional to be determined,Comoros,8679.483
"45327",Comoros,COM,Zone de Bimbini et Ilot de la Selle,Bimbini area and la Selle Islet,-12.18004821300,44.23814514950,"5696",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.63681041023,0.00473083882,Global/ Regional to be determined,Comoros,35841179.949
"45330",Comoros,COM,Zone de Malé,Malé area,-11.85666755760,43.50082370870,"1764",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.17892290263,0.00146375626,Global/ Regional to be determined,Comoros,892141.084
"45333",Comoros,COM,Zone de Ndroudé et Ilot aux Tortues,Ndroudé area and Ilot aux Tortues,-11.43589246260,43.41308743850,"2314",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.23553370312,0.00191690075,Global/ Regional to be determined,Comoros,7276804.538
"45334",Comoros,COM,Zone de Pomoni,Pomoni area,-12.26273739340,44.35048570650,"5749",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,0.34856921223,0.00477666996,Global/ Regional to be determined,Comoros,11778973.731
"45335",Comoros,COM,Zone du Coelacanthe,Coelacanthe area,-11.72791170100,43.24137676080,"68089",,,2016/03/17,,"Guy Rafamantanantsoa, Biotope","100m bathymetry sketch from biotope included by Andriambolantsoa Rasolohery, Conservation International",3. draft polygon,1.71432784048,0.05646470661,Global/ Regional to be determined,Comoros,41620631.580
"45343",Madagascar,MDG,AMP Mitsio-Tsarabanjina,Mitsio-Tsarabanjina MPA,-13.17880832700,48.41330338890,"681037",,,2016/03/17,,,added boundary,3. draft polygon,6.13628706939,0.56785673185,Global/ Regional to be determined,Madagascar,984239769.740
"45343",Madagascar,MDG,AMP Mitsio-Tsarabanjina,Mitsio-Tsarabanjina MPA,-13.17880832700,48.41330338890,"681037",,,2016/03/17,,,added boundary,3. draft polygon,6.13628706939,0.56785673185,Global/ Regional to be determined,Madagascar,1790042.850
"45343",Madagascar,MDG,AMP Mitsio-Tsarabanjina,Mitsio-Tsarabanjina MPA,-13.17880832700,48.41330338890,"681037",,,2016/03/17,,,added boundary,3. draft polygon,6.13628706939,0.56785673185,Global/ Regional to be determined,Madagascar,417929766.029
"45339",Madagascar,MDG,AMP de Nord Salary,North Salary MPA,-22.61399255910,43.25382599390,"108634",,,2016/03/17,,"WCS, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,1.83602541681,0.09541703370,Global/ Regional to be determined,Madagascar,378745866.490
"45339",Madagascar,MDG,AMP de Nord Salary,North Salary MPA,-22.61399255910,43.25382599390,"108634",,,2016/03/17,,"WCS, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,1.83602541681,0.09541703370,Global/ Regional to be determined,Madagascar,6360724.275
"45339",Madagascar,MDG,AMP de Nord Salary,North Salary MPA,-22.61399255910,43.25382599390,"108634",,,2016/03/17,,"WCS, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,1.83602541681,0.09541703370,Global/ Regional to be determined,Madagascar,1075.331
"45340",Madagascar,MDG,AMP de Nosy Ve Androka,Nosy Ve Androka MPA,-25.27340312410,44.25455657210,"62720",,,2016/03/17,,"MNP, Protected area from the Ministry of Forestry, 2010",existing protected area boundary,3. draft polygon,1.40759814307,0.05621061902,Global/ Regional to be determined,Madagascar,626751891.424
