Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
British Indian Ocean Territory,IO,-6.283200000000000,72.083200000000005,Chagos Archipelago,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,IO,-7.257645000000000,72.373109999999997,Diego Garcia,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,IO,-5.461707000000000,71.777168000000003,Peros Banhos,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Comoros,KM,-12.256449999999999,43.659999999999997,Fomboni-Hoani,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Comoros,KM,-12.356150000000000,43.671790000000001,Moheli,Chelonia mydas,"11","13","Parc National de Moheli (Moheli National Park)
",Comoros,Comoros,National Park,Working,National,National,"2001",Multiple,Ministry in charge of the Environment in the Union of the Comoros,Undetermined,,"449",593.65900000000,123.29800000000,43.72070000000,-12.37910000000
French Southern Territories,TF,-22.357930000000000,40.362802000000002,Europa,Chelonia mydas,"76","426",Glorieuses Archipelago Natural National Reserve,France,Iles Esparses,Marine nature park,Working,National,National,"2012",Not described,Not described,Undetermined,"Updated name, polygon, area","43800",7867.54000000000,3898.76000000000,68.62750000000,-48.97710000000
French Southern Territories,TF,-11.550000000000001,47.283332999999999,Glorieuses,Chelonia mydas,,,,,,,,,,,,,,,,,,,
French Southern Territories,TF,-12.830000000000000,45.109999999999999,Isles Eparces,Chelonia mydas,,,,,,,,,,,,,,,,,,,
French Southern Territories,TF,-17.053695999999999,42.737141000000001,Juan de Nova,Chelonia mydas,"76","426",Glorieuses Archipelago Natural National Reserve,France,Iles Esparses,Marine nature park,Working,National,National,"2012",Not described,Not described,Undetermined,"Updated name, polygon, area","43800",7867.54000000000,3898.76000000000,68.62750000000,-48.97710000000
French Southern Territories,TF,-17.053695999999999,42.737141000000001,Juan de Nova,Eretmochelys imbricata,"76","426",Glorieuses Archipelago Natural National Reserve,France,Iles Esparses,Marine nature park,Working,National,National,"2012",Not described,Not described,Undetermined,"Updated name, polygon, area","43800",7867.54000000000,3898.76000000000,68.62750000000,-48.97710000000
French Southern Territories,TF,-17.053761000000002,42.746806999999997,Juan de Nova and other scattered islands,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
French Southern Territories,TF,-15.550000000000001,54.516700000000000,Tromelin,Chelonia mydas,,,,,,,,,,,,,,,,,,,
French Southern Territories,TF,-15.888500000000001,54.521700000000003,Tromelin Island,Chelonia mydas,"76","426",Glorieuses Archipelago Natural National Reserve,France,Iles Esparses,Marine nature park,Working,National,National,"2012",Not described,Not described,Undetermined,"Updated name, polygon, area","43800",7867.54000000000,3898.76000000000,68.62750000000,-48.97710000000
Kenya,KE,-1.989380000000000,41.294150000000002,Chandani,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-2.032000000000000,42.241000000000000,Kitanga kikuu,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Kenya,KE,-1.809270000000000,41.437463999999999,Kiunga,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.809270000000000,41.437463999999999,Kiunga,Lepidochelys olivacea,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-2.020510000000000,41.261760000000002,Kiwaiyu,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.960170000000000,41.315829999999998,Kongowale,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.960170000000000,41.315829999999998,Kongowale,Eretmochelys imbricata,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.957670000000000,41.310499999999998,KSV,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Kenya,KE,-1.993250000000000,41.282950000000000,Kui,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.867330000000000,41.410170000000001,Magogo,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-3.885044000000000,39.801063999999997,Mombasa,Lepidochelys olivacea,,,,,,,,,,,,,,,,,,,
Kenya,KE,-1.965670000000000,41.312829999999998,Mongoni,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.849330000000000,41.428500000000000,Mtumumwe,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.852000000000000,41.425170000000001,Mwanabule,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.854830000000000,41.423330000000000,Mwongo shariff,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-1.935330000000000,41.339829999999999,Porcupine,Chelonia mydas,"4","6",Kiunga Marine National Reserve,Kenya,Kenya,Marine National Reserve,Working,National,National,"1979",Not described,Kenya Wildlife Service (KWS),VI,"Overlaps Fambuzi, Shaka la Manyoni, Shingi Iyuu","250",239.72800000000,168.84900000000,41.34210000000,-1.90090000000
Kenya,KE,-3.314427000000000,40.064703999999999,Watamu,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Kenya,KE,-3.314427000000000,40.064703999999999,Watamu,Lepidochelys olivacea,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-18.555000000000000,43.908000000000001,Barrens Archipelago,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-23.800000000000001,43.649999999999999,Beaches around Besambay and Maromena,Caretta caretta,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-25.033300000000001,47.000000000000000,Beaches between Fort-Dauphin and Manantenina,Caretta caretta,,,,,,,,,,,,,,,,,,,
Madagascar,MG,-13.599188000000000,47.825091999999998,Nosy Iranja Kely,Chelonia mydas,"25","27",Ankivonjy,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"1394",1379.54000000000,322.17700000000,47.86240000000,-13.52040000000
Madagascar,MG,-13.599188000000000,47.825091999999998,Nosy Iranja Kely,Eretmochelys imbricata,"25","27",Ankivonjy,Madagascar,Madagascar,Marine Protected Area,Working,National,National,"2015",Not described,Community and Wildlife Conservation Society,V,,"1394",1379.54000000000,322.17700000000,47.86240000000,-13.52040000000
Madagascar,MG,-23.586971999999999,43.739610999999996,Tulear,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mayotte,YT,-12.984076999999999,45.184291000000002,Comoros Archipelago,Chelonia mydas,"79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000
Mayotte,YT,-12.550000000000001,45.516700000000000,Grande Saziley,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mayotte,YT,-12.550000000000001,45.549999999999997,"Maoussi, Majicavo 1, 2, 3 and 4",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mayotte,YT,-12.838540000000000,45.111924999999999,Mayotte Island,Eretmochelys imbricata,"79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Caretta caretta,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Chelonia mydas,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Dermochelys coriacea,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-21.833333000000000,35.433332999999998,Bazaruto National Park,Lepidochelys olivacea,"27","42",Bazaruto Archipelago,Mozambique,Mozambique,National Park,Working,National,National,"1971",Multiple,MITADER and ANAC,V,,"1430",1359.34000000000,170.33400000000,35.43930000000,-21.73190000000
Mozambique,MZ,-25.166271999999999,33.191710999999998,Bilene,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.166271999999999,33.191710999999998,Bilene,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.259440000000001,32.940280000000001,Dubela-Mucombo,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.030000000000001,32.909999999999997,Inhaca Island,Caretta caretta,"29","44",Ponta do Ouro,Mozambique,Mozambique,Partial Marine Reserve (PMR),Working,National,National,"2009",Multiple,MITADER and ANAC,V,Part of the Ponta do Ouro-Kosi Bay TFCA?,"678",703.64400000000,378.29800000000,32.93590000000,-26.32600000000
Mozambique,MZ,-26.030000000000001,32.909999999999997,Inhaca Island,Dermochelys coriacea,"29","44",Ponta do Ouro,Mozambique,Mozambique,Partial Marine Reserve (PMR),Working,National,National,"2009",Multiple,MITADER and ANAC,V,Part of the Ponta do Ouro-Kosi Bay TFCA?,"678",703.64400000000,378.29800000000,32.93590000000,-26.32600000000
Mozambique,MZ,-26.767733000000000,32.885522000000002,Malongane,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.767733000000000,32.885522000000002,Malongane,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.393143999999999,32.798222000000003,Manhica,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.393143999999999,32.798222000000003,Manhica,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.170000000000002,32.560000000000002,Milibangalala,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.170000000000002,32.560000000000002,Milibangalala,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.855000000000000,32.734000000000002,Mucombo-Santa Maria,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.855000000000000,32.734000000000002,Mucombo-Santa Maria,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-12.409300000000000,40.601900000000001,Paquissico Tchawane Beach and Lemani Beach,Eretmochelys imbricata,"50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000
Mozambique,MZ,-26.782900000000001,32.885655999999997,Ponta de Ouro,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.782900000000001,32.885655999999997,Ponta de Ouro,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-15.079910000000000,40.772854000000002,Primeiras and Segundas Islands,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-12.422704000000000,40.611289999999997,Quirimbas National Park,Chelonia mydas,"50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000
Mozambique,MZ,-12.422704000000000,40.611289999999997,Quirimbas National Park,Eretmochelys imbricata,"50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000
Mozambique,MZ,-11.000000000000000,40.689999999999998,Rongui Island and Vamizi Island,Chelonia mydas,"72","0",Vamizi Island,Mozambique,Mozambique,Marine Reserve,Working,Local,LMMA,"2006",Not described,Fishing community council with support from WWF,Undetermined,Added,"18",70.78470000000,32.78740000000,40.70770000000,-11.00140000000
Mozambique,MZ,-11.000000000000000,40.689999999999998,Rongui Island and Vamizi Island,Eretmochelys imbricata,"72","0",Vamizi Island,Mozambique,Mozambique,Marine Reserve,Working,Local,LMMA,"2006",Not described,Fishing community council with support from WWF,Undetermined,Added,"18",70.78470000000,32.78740000000,40.70770000000,-11.00140000000
Mozambique,MZ,-23.791467000000001,35.510767000000001,Tofo,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.138000000000002,33.684199999999997,Xai-Xai,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-24.768000000000001,34.762000000000000,Zavala,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-24.515999999999998,35.201999999999998,Zavora,Caretta caretta,,,,,,,,,,,,,,,,,,,
